2003/1/14,32,28,33,11,13,7,20,ึํอรนทบ๏ยํส๓+ึํ
2003/1/16,2,40,39,42,34,36,29,ษ฿อรม๚ลฃผฆั๒+ปข
2003/1/21,44,49,16,20,21,43,6,ึํยํอรึํนทส๓+ลฃ
2003/1/23,36,6,38,27,14,23,49,ั๒ลฃษ฿ม๚ษ฿บ๏+ยํ
2003/1/28,30,10,25,46,5,41,48,ลฃผฆยํผฆปขปข+ั๒
2003/1/30,7,28,8,4,5,6,23,ส๓อรึํอรปขลฃ+บ๏
2003/2/4,28,43,12,7,20,27,46,ม๚ลฃบ๏ลฃส๓ษ฿+นท
2003/2/6,18,31,26,11,46,4,16,ปขลฃยํผฆนทม๚+ม๚
2003/2/11,22,11,28,38,40,23,29,นทผฆม๚ยํม๚ผฆ+อร
2003/2/13,12,8,24,39,4,40,18,บ๏ส๓บ๏ษ฿ม๚ม๚+ปข
2003/2/18,20,49,19,10,16,40,24,ส๓ั๒ลฃนทม๚ม๚+บ๏
2003/2/20,41,48,13,24,16,1,35,อรบ๏ั๒บ๏ม๚ั๒+ผฆ
2003/2/25,42,19,13,45,28,23,15,ปขลฃั๒ึํม๚ผฆ+ษ฿
2003/2/27,25,4,21,12,9,34,36,ั๒ม๚ึํบ๏ึํนท+บ๏
2003/3/4,38,9,44,42,32,33,43,ยํึํส๓ปขส๓ึํ+ลฃ
2003/3/6,48,15,40,20,35,45,30,บ๏ษ฿ม๚ส๓ผฆึํ+ปข
2003/3/11,10,35,39,31,22,20,17,นทผฆษ฿ลฃนทส๓+อร
2003/3/13,49,21,3,20,43,2,32,ั๒ึํษ฿ส๓ลฃยํ+ส๓
2003/3/18,22,23,35,8,24,10,33,นทผฆผฆส๓บ๏นท+ึํ
2003/3/20,13,14,39,23,21,42,36,ั๒ยํษ฿ผฆึํปข+บ๏
2003/3/25,30,28,23,34,13,42,20,ปขม๚ผฆนทั๒ปข+ส๓
2003/3/27,48,22,21,9,26,37,35,บ๏นทึํึํยํั๒+ผฆ
2003/4/1,48,12,43,30,40,17,18,บ๏บ๏ลฃปขม๚อร+ปข
2003/4/3,32,29,21,43,38,41,7,ส๓อรึํลฃยํอร+ลฃ
2003/4/8,13,6,47,11,40,24,42,ั๒ปขผฆผฆม๚บ๏+ปข
2003/4/10,7,11,33,23,13,31,28,ลฃผฆึํผฆั๒ลฃ+ม๚
2003/4/15,37,39,15,28,27,9,33,ั๒ษ฿ษ฿ม๚ษ฿ึํ+ึํ
2003/4/17,38,12,45,26,18,34,43,ยํบ๏ึํยํปขนท+ลฃ
2003/4/22,31,36,26,7,27,14,43,ลฃบ๏ยํลฃษ฿ยํ+ลฃ
2003/4/24,20,11,14,47,17,42,27,ส๓ผฆยํผฆอรปข+ษ฿
2003/1/30,7,28,8,4,5,6,23,ลฃม๚ส๓ม๚อรปข+ผฆ
2003/2/4,28,43,12,7,20,27,46,ม๚ลฃบ๏ลฃส๓ษ฿+นท
2003/2/6,18,31,26,11,46,4,16,ปขลฃยํผฆนทม๚+ม๚
2003/2/11,22,11,28,38,40,23,29,นทผฆม๚ยํม๚ผฆ+อร
2003/2/13,12,8,24,39,4,40,18,บ๏ส๓บ๏ษ฿ม๚ม๚+ปข
2003/2/18,20,49,19,10,16,40,24,ส๓ั๒ลฃนทม๚ม๚+บ๏
2003/2/20,41,42,13,24,16,1,35,อรปขั๒บ๏ม๚ั๒+ผฆ
2003/2/25,42,19,13,45,28,23,15,ปขลฃั๒ึํม๚ผฆ+ษ฿
2003/2/27,25,4,21,12,9,34,36,ั๒ม๚ึํบ๏ึํนท+บ๏
2003/3/4,38,9,44,42,32,33,43,ยํึํส๓ปขส๓ึํ+ลฃ
2003/6/3,21,37,47,12,2,49,11,ึํั๒ผฆบ๏ยํั๒+ผฆ
2003/6/5,9,44,30,48,27,33,37,ึํส๓ปขบ๏ษ฿ึํ+ั๒
2003/6/10,10,19,44,26,30,32,29,นทลฃส๓ยํปขส๓+อร
2003/6/12,27,38,31,14,44,3,26,ษ฿ยํลฃยํส๓ษ฿+ยํ
2003/6/17,22,3,11,18,24,37,49,นทษ฿ผฆปขบ๏ั๒+ั๒
2003/6/19,4,10,24,47,3,26,12,ม๚นทบ๏ผฆษ฿ยํ+บ๏
2003/6/24,21,2,37,44,10,22,47,ึํยํั๒ส๓นทนท+ผฆ
2003/6/26,37,9,40,29,7,26,11,ั๒ึํม๚อรลฃยํ+ผฆ
2003/6/30,18,16,32,47,44,14,2,ปขม๚ส๓ผฆส๓ยํ+ยํ
2003/7/3,47,20,39,6,12,5,38,ผฆส๓ษ฿ปขบ๏อร+ยํ
2003/4/10,7,11,33,23,13,31,28,ลฃผฆึํผฆั๒ลฃ+ม๚
2003/4/15,37,39,15,28,27,9,33,ั๒ษ฿ษ฿ม๚ษ฿ึํ+ึํ
2003/4/17,38,12,45,26,18,34,43,ยํบ๏ึํยํปขนท+ลฃ
2003/4/22,31,36,26,7,27,14,43,ลฃบ๏ยํลฃษ฿ยํ+ลฃ
2003/4/24,20,11,14,47,17,42,27,ส๓ผฆยํผฆอรปข+ษ฿
2003/4/29,37,47,49,30,19,41,3,ั๒ผฆั๒ปขลฃอร+ษ฿
2003/5/2,10,19,35,8,31,3,36,นทลฃผฆส๓ลฃษ฿+บ๏
2003/5/6,19,7,30,44,37,34,48,ลฃลฃปขส๓ั๒นท+บ๏
